x,y,w,h,conf,x,y,w,h,conf,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,,,
0.4093485,0.27699995,0.4164306,0.262,1,0.4093485,0.27699995,0.4164306,0.262,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,
b_i,,,,conf_i,b_i,,,,conf_i,p_i,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xhat^1,yhat^1,what^1,hhat^1,confhat^1,xhat^2,yhat^2,what^2,hhat^2,confhat^2,p1hat,p2hat,p3hat,p4hat,p5hat,p6hat,p7hat,p8hat,p9hat,p10hat,p11hat,p12hat,p13hat,p14hat,p15hat,p16hat,p17hat,p18hat,p19hat,p20hat,,,
-0.48271456,-0.3510531,-0.5948943,0.018322542,0.16222009,2.6877854,2.0019963,-1.1685951,-4.591512,0.7578352,-0.23169228,0.5273974,-0.25562853,-0.28300565,0.3816753,-0.16553786,-0.07119843,-0.1746078,0.14672858,0.016640127,-0.4145887,1.1629368,-0.042909816,-0.09520682,0.13234715,-0.105524056,0.26916313,0.09234155,-0.084516615,0.5841763,,,
bhat_i^1,,,,confhat^1,bhat_i^2,,,,confhat^2,phat_i,,,,,,,,,,,,,,,,,,,,,,
